167,5,3,158647,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]",,
167,7,3,161531,"[""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]",,,
13,107,5,165343,"[""Prime""]","[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",,,
167,5,5,168127,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
5,107,7,169991,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]",,
167,13,3,170711,"[""Germain"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Prime""]","[""Germain"""," ""Prime""]",,,
23,107,5,175783,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
47,83,11,179083,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
107,13,23,183511,"[""Prime""]","[""Safe"""," ""Prime""]","[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",,,
23,107,7,188891,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]",,
47,83,13,193031,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Prime""]",,,
5,107,11,196543,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
167,3,11,197003,"[""Germain"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
7,3,47,198139,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]","[""Safe"""," ""Prime""]",,,
167,23,5,198943,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
11,3,47,202907,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]","[""Safe"""," ""Prime""]",,
13,5,47,210127,"[""Prime""]","[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]",,,
167,11,11,211723,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
5,83,23,215191,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
23,3,47,218171,"[""Germain"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]","[""Safe"""," ""Prime""]",
23,5,47,223087,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]",
167,11,13,224423,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Prime""]",,,
167,13,13,228511,"[""Prime""]","[""Safe"""," ""Prime""]","[""Prime""]","[""Prime""]",,,,,
23,83,23,237691,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
167,47,3,237691,"[""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]",,,
